panel,spike_id,time_s,x_px_in_panel,y_px_in_panel,x_px_abs,y_px_abs,y_norm_in_raster,sigma_px,detection_score
no_prediction_reward_occurs,no_prediction_reward_occurs_0100,-0.297071129707113,84.0,139.0,476.0,340.0,0.9019607843137255,1.8888888888888888,0.8004357298474946
no_prediction_reward_occurs,no_prediction_reward_occurs_0122,-0.2803347280334728,86.0,114.0,478.0,315.0,0.6568627450980392,1.6666666666666665,0.8435729847494554
no_prediction_reward_occurs,no_prediction_reward_occurs_0151,-0.2635983263598326,88.0,55.0,480.0,256.0,0.0784313725490196,1.6666666666666665,0.8043572984749454
no_prediction_reward_occurs,no_prediction_reward_occurs_0223,-0.2635983263598326,88.0,60.0,480.0,261.0,0.12745098039215685,3.0,0.7359477124183006
no_prediction_reward_occurs,no_prediction_reward_occurs_0116,-0.2635983263598326,88.0,77.0,480.0,278.0,0.29411764705882354,1.8888888888888888,0.8339869281045753
no_prediction_reward_occurs,no_prediction_reward_occurs_0159,-0.2635983263598326,88.0,105.0,480.0,306.0,0.5686274509803921,1.4444444444444444,0.8352941176470589
no_prediction_reward_occurs,no_prediction_reward_occurs_0174,-0.2468619246861925,90.0,110.0,482.0,311.0,0.6176470588235294,1.8888888888888888,0.8827886710239652
no_prediction_reward_occurs,no_prediction_reward_occurs_0152,-0.2468619246861925,90.0,145.0,482.0,346.0,0.9607843137254902,1.4444444444444444,0.8958605664488017
no_prediction_reward_occurs,no_prediction_reward_occurs_0107,-0.2384937238493724,91.0,71.0,483.0,272.0,0.23529411764705882,1.8888888888888888,0.7912854030501089
no_prediction_reward_occurs,no_prediction_reward_occurs_0037,-0.2301255230125523,92.0,99.0,484.0,300.0,0.5098039215686274,2.111111111111111,0.903267973856209
no_prediction_reward_occurs,no_prediction_reward_occurs_0119,-0.22175732217573219,93.0,138.0,485.0,339.0,0.8921568627450981,3.0,0.9416122004357299
no_prediction_reward_occurs,no_prediction_reward_occurs_0180,-0.21338912133891208,94.0,61.0,486.0,262.0,0.13725490196078433,1.8888888888888888,0.7446623093681918
no_prediction_reward_occurs,no_prediction_reward_occurs_0130,-0.17991631799163177,98.0,56.0,490.0,257.0,0.08823529411764706,1.6666666666666665,0.8339869281045752
no_prediction_reward_occurs,no_prediction_reward_occurs_0050,-0.13807531380753135,103.0,119.0,495.0,320.0,0.7058823529411765,2.111111111111111,0.8610021786492374
